Ring,Tree,treatment,year,dbh
3,309,aCO2,2020,24.35
3,311,aCO2,2020,28.89
3,312,aCO2,2020,20.34
3,313,aCO2,2020,19.36
3,315,aCO2,2020,25.56
3,316,aCO2,2020,24.45
3,317,aCO2,2020,24.52
3,319,aCO2,2020,24.11
3,320,aCO2,2020,29.31
3,321,aCO2,2020,28.58
3,324,aCO2,2020,36.37
4,401,eCO2,2020,16.37
4,402,eCO2,2020,19.73
4,403,eCO2,2020,21.96
4,405,eCO2,2020,NA
4,406,eCO2,2020,NA
4,407,eCO2,2020,17.69
4,408,eCO2,2020,29.37
4,409,eCO2,2020,16.7
4,411,eCO2,2020,20.12
4,413,eCO2,2020,23.29
4,414,eCO2,2020,22.49
4,415,eCO2,2020,16.24
4,416,eCO2,2020,15.64
4,417,eCO2,2020,26.14
4,420,eCO2,2020,22.86
4,422,eCO2,2020,21.91
4,423,eCO2,2020,22.44
4,424,eCO2,2020,24.86
4,425,eCO2,2020,15.77
4,426,eCO2,2020,15.71
5,501,eCO2,2020,28.67
5,502,eCO2,2020,29.83
5,503,eCO2,2020,39.09
5,504,eCO2,2020,25.39
5,505,eCO2,2020,26.39
5,508,eCO2,2020,19.89
5,509,eCO2,2020,30.51
5,511,eCO2,2020,26.82
5,513,eCO2,2020,39.08
5,514,eCO2,2020,25.33
5,515,eCO2,2020,24.12
5,519,eCO2,2020,22.78
5,522,eCO2,2020,21.37
5,523,eCO2,2020,23.65
5,525,eCO2,2020,27.82
5,526,eCO2,2020,20.99
5,530,eCO2,2020,26.14
5,533,eCO2,2020,29.85
6,603,aCO2,2020,55.45
6,607,aCO2,2020,45.45
6,610,aCO2,2020,26.17
6,612,aCO2,2020,32.85
6,613,aCO2,2020,19.98
6,614,aCO2,2020,35.73
6,618,aCO2,2020,22.08
6,620,aCO2,2020,23.02
6,621,aCO2,2020,14.98
1,102,eCO2,2021,19.45
1,103,eCO2,2021,27.44
1,105,eCO2,2021,24.93
1,106,eCO2,2021,17.42
1,107,eCO2,2021,16.72
1,108,eCO2,2021,18.61
1,109,eCO2,2021,42.13
1,110,eCO2,2021,18.39
1,111,eCO2,2021,36
1,112,eCO2,2021,23.66
1,113,eCO2,2021,21.05
1,114,eCO2,2021,18.91
1,116,eCO2,2021,35.21
1,117,eCO2,2021,32.15
1,118,eCO2,2021,23.82
1,119,eCO2,2021,28.76
1,120,eCO2,2021,20.63
1,121,eCO2,2021,17.47
1,122,eCO2,2021,34
1,123,eCO2,2021,20.08
2,201,aCO2,2021,21.67
2,202,aCO2,2021,26.76
2,203,aCO2,2021,28.48
2,205,aCO2,2021,23.87
2,207,aCO2,2021,30.27
2,208,aCO2,2021,NA
2,209,aCO2,2021,58.53
2,214,aCO2,2021,NA
2,216,aCO2,2021,NA
2,217,aCO2,2021,NA
2,222,aCO2,2021,16.75
2,223,aCO2,2021,24.54
2,225,aCO2,2021,25.16
3,301,aCO2,2021,29.77
3,302,aCO2,2021,30.8
3,304,aCO2,2021,17.8
3,305,aCO2,2021,28.06
3,306,aCO2,2021,20.39
3,307,aCO2,2021,23.09
3,309,aCO2,2021,24.9
3,311,aCO2,2021,29.44
3,312,aCO2,2021,20.47
3,313,aCO2,2021,19.63
3,315,aCO2,2021,26.05
3,316,aCO2,2021,24.86
3,317,aCO2,2021,25
3,319,aCO2,2021,24.53
3,320,aCO2,2021,30.19
3,321,aCO2,2021,29.17
3,324,aCO2,2021,36.94
4,401,eCO2,2021,16.39
4,402,eCO2,2021,19.78
4,403,eCO2,2021,22.25
4,405,eCO2,2021,NA
4,406,eCO2,2021,NA
4,407,eCO2,2021,17.53
4,408,eCO2,2021,29.79
4,409,eCO2,2021,16.84
4,411,eCO2,2021,20.1
4,413,eCO2,2021,23.46
4,414,eCO2,2021,22.75
4,415,eCO2,2021,16.27
4,416,eCO2,2021,15.83
4,417,eCO2,2021,26.21
4,420,eCO2,2021,23.14
4,422,eCO2,2021,22.17
4,423,eCO2,2021,22.69
4,424,eCO2,2021,25.52
4,425,eCO2,2021,15.68
4,426,eCO2,2021,16.02
5,501,eCO2,2021,29.21
5,502,eCO2,2021,30.33
5,503,eCO2,2021,39.06
5,504,eCO2,2021,25.8
5,505,eCO2,2021,26.72
5,508,eCO2,2021,19.95
5,509,eCO2,2021,30.81
5,511,eCO2,2021,27.05
5,513,eCO2,2021,39.23
5,514,eCO2,2021,25.38
5,515,eCO2,2021,24.31
5,519,eCO2,2021,23.08
5,522,eCO2,2021,21.43
5,523,eCO2,2021,24.36
5,525,eCO2,2021,28.24
5,526,eCO2,2021,21.22
5,530,eCO2,2021,26.6
5,533,eCO2,2021,30.14
6,603,aCO2,2021,55.76
6,607,aCO2,2021,45.68
6,610,aCO2,2021,26.44
6,612,aCO2,2021,32.84
6,613,aCO2,2021,20.09
6,614,aCO2,2021,35.82
6,618,aCO2,2021,22.27
6,620,aCO2,2021,23.26
6,621,aCO2,2021,15.11
1,102,eCO2,2022,19.55
1,103,eCO2,2022,27.59
1,105,eCO2,2022,25.21
1,106,eCO2,2022,17.42
1,107,eCO2,2022,16.94
1,108,eCO2,2022,18.68
1,109,eCO2,2022,42.22
1,110,eCO2,2022,18.22
1,111,eCO2,2022,36.53
1,112,eCO2,2022,23.79
1,113,eCO2,2022,21.2
1,114,eCO2,2022,18.94
1,116,eCO2,2022,35.96
1,117,eCO2,2022,32.26
1,118,eCO2,2022,24.17
1,119,eCO2,2022,29.27
1,120,eCO2,2022,20.66
1,121,eCO2,2022,17.39
1,122,eCO2,2022,34.49
1,123,eCO2,2022,20.09
2,201,aCO2,2022,21.7
2,202,aCO2,2022,26.84
2,203,aCO2,2022,28.47
2,205,aCO2,2022,23.86
2,207,aCO2,2022,30.4
2,208,aCO2,2022,NA
2,209,aCO2,2022,59.12
2,214,aCO2,2022,NA
2,216,aCO2,2022,NA
2,217,aCO2,2022,NA
2,222,aCO2,2022,16.75
2,223,aCO2,2022,24.52
2,225,aCO2,2022,25.19
3,301,aCO2,2022,30.05
3,302,aCO2,2022,30.93
3,304,aCO2,2022,17.72
3,305,aCO2,2022,28.07
3,306,aCO2,2022,20.37
3,307,aCO2,2022,23.22
3,309,aCO2,2022,24.92
3,311,aCO2,2022,29.07
3,312,aCO2,2022,20.43
3,313,aCO2,2022,19.7
3,315,aCO2,2022,26.15
3,316,aCO2,2022,24.93
3,317,aCO2,2022,25.04
3,319,aCO2,2022,24.65
3,320,aCO2,2022,30.39
3,321,aCO2,2022,29.39
3,324,aCO2,2022,37.51
4,401,eCO2,2022,16.6
4,402,eCO2,2022,19.81
4,403,eCO2,2022,22.9
4,405,eCO2,2022,NA
4,406,eCO2,2022,NA
4,407,eCO2,2022,17.51
4,408,eCO2,2022,30.25
4,409,eCO2,2022,17.02
4,411,eCO2,2022,20.19
4,413,eCO2,2022,23.53
4,414,eCO2,2022,22.76
4,415,eCO2,2022,16.28
4,416,eCO2,2022,15.88
4,417,eCO2,2022,26.27
4,420,eCO2,2022,23.31
4,422,eCO2,2022,22.31
4,423,eCO2,2022,22.86
4,424,eCO2,2022,26.04
4,425,eCO2,2022,15.77
4,426,eCO2,2022,16.1
5,501,eCO2,2022,29.44
5,502,eCO2,2022,30.59
5,503,eCO2,2022,39.03
5,504,eCO2,2022,26.05
5,505,eCO2,2022,26.76
5,508,eCO2,2022,20
5,509,eCO2,2022,30.67
5,511,eCO2,2022,27.17
5,513,eCO2,2022,39.21
5,514,eCO2,2022,25.39
5,515,eCO2,2022,24.26
5,519,eCO2,2022,23.22
5,522,eCO2,2022,21.45
5,523,eCO2,2022,24.45
5,525,eCO2,2022,28.53
5,526,eCO2,2022,21.26
5,530,eCO2,2022,26.64
5,533,eCO2,2022,30.32
6,603,aCO2,2022,55.69
6,607,aCO2,2022,45.71
6,610,aCO2,2022,26.43
6,612,aCO2,2022,32.86
6,613,aCO2,2022,20.11
6,614,aCO2,2022,35.89
6,618,aCO2,2022,22.26
6,620,aCO2,2022,23.31
6,621,aCO2,2022,15.13
1,102,eCO2,2023,19.6
1,103,eCO2,2023,27.98
1,105,eCO2,2023,25.25
1,106,eCO2,2023,17.48
1,107,eCO2,2023,17.07
1,108,eCO2,2023,18.59
1,109,eCO2,2023,42.36
1,110,eCO2,2023,18.27
1,111,eCO2,2023,36.78
1,112,eCO2,2023,23.73
1,113,eCO2,2023,21.27
1,114,eCO2,2023,18.96
1,116,eCO2,2023,36.19
1,117,eCO2,2023,32.24
1,118,eCO2,2023,24.38
1,119,eCO2,2023,29.46
1,120,eCO2,2023,20.7
1,121,eCO2,2023,17.4
1,122,eCO2,2023,34.74
1,123,eCO2,2023,20.19
2,201,aCO2,2023,21.75
2,202,aCO2,2023,26.85
2,203,aCO2,2023,28.49
2,205,aCO2,2023,23.9
2,207,aCO2,2023,30.49
2,208,aCO2,2023,26.54
2,209,aCO2,2023,59.63
2,214,aCO2,2023,24.25
2,216,aCO2,2023,22.49
2,217,aCO2,2023,22.05
2,222,aCO2,2023,16.79
2,223,aCO2,2023,24.6
2,225,aCO2,2023,25.24
3,301,aCO2,2023,30.44
3,302,aCO2,2023,31.27
3,304,aCO2,2023,17.74
3,305,aCO2,2023,28.17
3,306,aCO2,2023,20.45
3,307,aCO2,2023,23.38
3,309,aCO2,2023,25.03
3,311,aCO2,2023,29.41
3,312,aCO2,2023,20.44
3,313,aCO2,2023,19.91
3,315,aCO2,2023,26.43
3,316,aCO2,2023,25
3,317,aCO2,2023,25.11
3,319,aCO2,2023,24.96
3,320,aCO2,2023,30.61
3,321,aCO2,2023,29.73
3,324,aCO2,2023,38.21
4,401,eCO2,2023,16.78
4,402,eCO2,2023,19.88
4,403,eCO2,2023,23.01
4,405,eCO2,2023,16.62
4,406,eCO2,2023,18.82
4,407,eCO2,2023,17.51
4,408,eCO2,2023,30.52
4,409,eCO2,2023,17.06
4,411,eCO2,2023,20.23
4,413,eCO2,2023,23.56
4,414,eCO2,2023,22.8
4,415,eCO2,2023,16.29
4,416,eCO2,2023,15.95
4,417,eCO2,2023,26.36
4,420,eCO2,2023,23.36
4,422,eCO2,2023,22.39
4,423,eCO2,2023,22.98
4,424,eCO2,2023,26.45
4,425,eCO2,2023,15.92
4,426,eCO2,2023,16.14
5,501,eCO2,2023,29.51
5,502,eCO2,2023,30.77
5,503,eCO2,2023,38.99
5,504,eCO2,2023,26.15
5,505,eCO2,2023,26.85
5,508,eCO2,2023,20.03
5,509,eCO2,2023,30.73
5,511,eCO2,2023,27.33
5,513,eCO2,2023,39.19
5,514,eCO2,2023,25.48
5,515,eCO2,2023,24.31
5,519,eCO2,2023,23.3
5,522,eCO2,2023,21.53
5,523,eCO2,2023,24.51
5,525,eCO2,2023,28.57
5,526,eCO2,2023,21.27
5,530,eCO2,2023,26.73
5,533,eCO2,2023,30.33
6,603,aCO2,2023,55.87
6,607,aCO2,2023,46.01
6,610,aCO2,2023,26.6
6,612,aCO2,2023,32.89
6,613,aCO2,2023,20.09
6,614,aCO2,2023,36.11
6,618,aCO2,2023,22.27
6,620,aCO2,2023,23.4
6,621,aCO2,2023,15.15
